,id,age_ratings
0,121730,"[{'id': 113928, 'category': 2, 'rating': 2}, {'id': 114326, 'category': 7, 'rating': 35}, {'id': 114327, 'category': 5, 'rating': 24}, {'id': 115334, 'category': 1, 'rating': 10}, {'id': 125915, 'category': 4, 'rating': 20}, {'id': 125916, 'category': 7, 'rating': 36}]"
1,194837,"[{'id': 105977, 'category': 1, 'rating': 10}, {'id': 114434, 'category': 7, 'rating': 35}, {'id': 114435, 'category': 3, 'rating': 14}, {'id': 114436, 'category': 5, 'rating': 24}, {'id': 114437, 'category': 2, 'rating': 3}, {'id': 117704, 'category': 4, 'rating': 20}]"
2,199129,"[{'id': 130094, 'category': 7, 'rating': 34}, {'id': 130095, 'category': 2, 'rating': 1}, {'id': 130096, 'category': 6, 'rating': 28}, {'id': 130097, 'category': 4, 'rating': 18}, {'id': 130098, 'category': 1, 'rating': 8}]"
3,203939,"[{'id': 114019, 'category': 2, 'rating': 4}, {'id': 114186, 'category': 1, 'rating': 10}]"
4,204013,"[{'id': 106168, 'category': 1, 'rating': 8}, {'id': 114063, 'category': 2, 'rating': 1}, {'id': 120931, 'category': 5, 'rating': 23}]"
5,213741,"[{'id': 113929, 'category': 2, 'rating': 3}, {'id': 114105, 'category': 1, 'rating': 10}, {'id': 119113, 'category': 5, 'rating': 25}]"
6,211893,"[{'id': 103798, 'category': 1, 'rating': 8}, {'id': 105094, 'category': 2, 'rating': 2}, {'id': 115010, 'category': 7, 'rating': 35}, {'id': 115011, 'category': 5, 'rating': 24}, {'id': 125587, 'category': 4, 'rating': 19}]"
7,214399,"[{'id': 88817, 'category': 1, 'rating': 9}, {'id': 115007, 'category': 7, 'rating': 35}, {'id': 115008, 'category': 5, 'rating': 25}, {'id': 115009, 'category': 2, 'rating': 4}, {'id': 122808, 'category': 6, 'rating': 29}, {'id': 122809, 'category': 4, 'rating': 20}]"
8,215119,"[{'id': 114081, 'category': 1, 'rating': 9}, {'id': 122469, 'category': 7, 'rating': 35}, {'id': 122470, 'category': 2, 'rating': 2}, {'id': 122814, 'category': 4, 'rating': 19}, {'id': 155093, 'category': 5, 'rating': 23}]"
9,217550,"[{'id': 93511, 'category': 3, 'rating': 14}, {'id': 119078, 'category': 5, 'rating': 24}, {'id': 138704, 'category': 4, 'rating': 20}, {'id': 162886, 'category': 1, 'rating': 10}, {'id': 162887, 'category': 2, 'rating': 3}, {'id': 162888, 'category': 6, 'rating': 30}, {'id': 162889, 'category': 7, 'rating': 36}]"
