,id,total_rating,first_release_date,genres,name,platforms
0,121730,80,1673481600,"[4, 33]",Breakers Collection,"[6, 48, 49, 130, 167, 169]"
1,194837,78,1673481600,"[12, 31]",One Piece Odyssey,"[6, 48, 167, 169]"
2,199129,68,1673481600,"[13, 15]",Aquatico,[6]
3,203939,65,1673481600,"[13, 32]",Drago Noka,"[6, 48, 130]"
4,204013,70,1673481600,"[5, 32, 33]",Lone Ruin,"[6, 130]"
5,213741,78,1673481600,"[8, 25, 31, 32, 33]",Vengeful Guardian: Moonrider,"[6, 48, 130, 167]"
6,211893,78,1674000000,"[5, 32, 33]",Graze Counter GM,"[6, 48, 49, 130, 167, 169]"
7,215119,65,1674086400,"[2, 9, 15, 31]",Colossal Cave,"[3, 6, 14, 48, 49, 130, 167, 169]"
8,214399,65,1674086400,"[12, 13, 15, 16, 24]",Tortuga: A Pirate's Tale,"[6, 48, 49, 167, 169]"
9,217550,78,1674172800,"[12, 15, 16, 24, 31]",Fire Emblem Engage,[130]
10,134583,64,1674518400,"[12, 31]",Forspoken,"[6, 167]"
11,233585,89,1674604800,"[7, 8, 25, 31]",Hi-Fi Rush,"[6, 169]"
12,198625,70,1674691200,"[9, 13, 32, 33]",Garden In!,"[6, 130]"
13,204461,75,1674691200,[5],Shoulders of Giants,"[6, 49, 169]"
14,233571,86,1674691200,"[5, 24, 31]",Hitman World of Assassination,"[6, 48, 49, 165, 167, 169]"
15,214530,84,1674691200,"[12, 15, 31]",Disgaea 7: Vows of the Virtueless,"[6, 48, 130, 167]"
16,159119,89,1674777600,"[5, 12, 31]",Dead Space,"[6, 167, 169]"
17,216579,77,1674777600,"[12, 15, 16]",Monster Menu: The Scavenger's Cookbook,"[48, 130, 167]"
18,204645,77,1675036800,"[9, 31, 32]",BackfireWall,"[6, 48, 49, 130, 167, 169]"
19,141541,80,1675123200,"[12, 31, 32]",Season: A Letter to the Future,"[6, 48, 167]"
20,171219,73,1675123200,"[8, 31]",SpongeBob SquarePants: The Cosmic Shake,"[6, 34, 39, 48, 49, 130, 167, 169]"
21,186297,80,1675209600,"[7, 12, 31, 32, 33]",Rhythm Sprout,"[6, 48, 49, 130, 167, 169]"
22,145797,62,1675296000,"[5, 32]",Perish,[6]
23,194740,72,1675296000,"[8, 31, 32]",Deliver Us Mars,"[6, 48, 49, 167, 169]"
24,222944,78,1675296000,[13],Cuddly Forest Friends,[130]
25,204631,70,1675382400,"[12, 15, 16]",Spellforce: Conquest of EO,"[6, 167, 169]"
26,236663,94,1675814400,"[5, 8, 31]",Metroid Prime Remastered,[130]
27,136625,85,1675987200,"[12, 31]",Hogwarts Legacy,"[6, 48, 49, 130, 167, 169]"
28,217256,80,1676332800,"[12, 13, 31]",Ten Dates,"[6, 14, 34, 39, 48, 49, 130, 167, 169]"
29,173091,63,1676332800,"[5, 25, 31]",Wanted: Dead,"[6, 48, 49, 167, 169]"
30,151787,70,1676505600,"[8, 12, 25, 31, 32]",Elderand,"[6, 49, 130, 169]"
31,215894,70,1676505600,"[5, 12, 31, 32]",Dust & Neon,"[6, 130, 169]"
32,218793,75,1676505600,[31],Wild Hearts,"[6, 167, 169]"
33,217564,61,1676592000,"[12, 31]",Tales of Symphonia Remastered,"[48, 49, 130, 169]"
34,219436,75,1676592000,"[10, 14, 31]",Gigantosaurus Dino Kart,"[6, 48, 49, 130, 167, 169]"
35,107233,60,1676592000,"[11, 13, 15]",The Settlers: New Allies,"[6, 48, 49, 130, 167, 169]"
36,76747,69,1676937600,"[5, 12, 31]",Atomic Heart,"[6, 48, 49, 167, 169]"
37,217597,81,1676937600,"[12, 25, 31]",Like a Dragon: Ishin!,"[6, 48, 49, 167, 169]"
38,186309,77,1677024000,[31],Horizon Call of the Mountain,[390]
39,225770,76,1677024000,"[5, 31, 33]",Raiden III x Mikado Maniax,"[6, 48, 49, 130, 167, 169]"
40,237363,76,1677024000,"[9, 13]",Piczle Lines 2: Into the Puzzleverse,[130]
41,138137,65,1677110400,"[12, 14, 15, 16, 35]",Blood Bowl III,"[6, 48, 49, 130, 167, 169]"
42,156150,77,1677110400,"[11, 15, 16, 24]",Company of Heroes 3,"[6, 167, 169]"
43,212571,79,1677110400,"[8, 31]",Gal Guardians: Demon Purge,"[6, 48, 49, 130, 167, 169]"
44,220832,65,1677110400,"[15, 35]",Catan: Console Edition,"[48, 49, 130, 167, 169]"
45,181486,77,1677196800,"[12, 15, 31, 32, 34]",The Pale Beyond,"[6, 14, 130]"
46,217554,86,1677196800,"[12, 16]",Octopath Traveler II,"[6, 48, 49, 130, 167, 169]"
47,59598,50,1677196800,"[8, 31]",Clive 'N' Wrench,"[6, 48, 130, 167]"
48,217565,78,1677196800,"[8, 31]",Kirby's Return to Dream Land Deluxe,[130]
49,152074,69,1677542400,"[5, 31]",Scars Above,"[6, 48, 49, 167, 169]"
50,217557,77,1677715200,"[12, 13]",Rune Factory 3 Special,"[6, 130]"
51,204628,79,1677801600,"[12, 31]",Wo Long: Fallen Dynasty,"[6, 48, 49, 167, 169]"
52,239999,78,1678147200,"[5, 12, 31]",The Outer Worlds: Spacer's Choice Edition,"[6, 167, 169]"
53,236694,85,1678233600,"[12, 13, 31, 34]",Paranormasight: The Seven Mysteries of Honjo,"[6, 34, 39, 130]"
54,119801,76,1678320000,"[7, 9, 31, 32]",Figment 2: Creed Valley,"[6, 48, 49, 130, 167, 169]"
55,154769,64,1678320000,"[4, 31, 32]",Clash: Artifacts of Chaos,"[6, 48, 49, 167, 169]"
56,207918,81,1678320000,"[5, 33]",Ray'z Arcade Chronology,"[6, 48, 130]"
57,211902,75,1678320000,[31],Peaky Blinders: The King's Ransom,"[163, 386, 390]"
58,217577,68,1678320000,[31],Fatal Frame: Mask of the Lunar Eclipse,"[6, 48, 49, 130, 167, 169]"
59,231222,76,1678320000,"[4, 31, 33]",Cannon Dancer: Osman,"[48, 49, 130, 167, 169]"
60,233624,75,1678320000,"[5, 33]",Caverns of Mars: Recharged,"[6, 48, 49, 130, 167, 169]"
61,212050,55,1678406400,"[12, 31, 34]",Mato Anomalies,"[6, 48, 49, 130, 167, 169]"
62,122200,65,1678406400,"[12, 25, 31, 32]",Bleak Faith: Forsaken,"[6, 48, 49]"
